subject_id,str_GoPro_ts,end_GoPro_ts,str_GoPro_frame,end_GoPro_frame,str_SMI_w_ts,end_SMI_w_ts,str_SMI_w_frame,end_SMI_w_frame,str_SMI_wo_ts,end_SMI_wo_ts,str_SMI_wo_frame,end_SMI_wo_frame,error_label_main,error_label_sub,action_label
3,00:14:06:25,00:14:16:49,50734,51357,00:15:24:21,00:15:35:03,27741,28053,00:15:23:11,00:15:33:20,22163,22412,0,-1,1
3,00:14:22:20,00:14:29:58,51688,52146,00:15:40:19,00:15:48:08,28219,28448,00:15:39:09,00:15:47:00,22545,22728,0,-1,1
3,00:14:54:07,00:15:03:25,53593,54151,00:16:12:13,00:16:21:22,29173,29452,00:16:11:04,00:16:20:11,23308,23531,0,-1,2
3,00:16:28:15,00:16:35:36,59235,59676,00:17:46:20,00:17:54:01,32000,32221,00:17:45:07,00:17:52:15,25567,25743,0,-1,3
3,00:09:41:49,00:09:56:01,34874,35725,00:10:59:24,00:11:14:01,19794,20221,00:10:58:20,00:11:13:00,15812,16152,2,-1,5
3,00:09:56:51,00:10:04:42,35775,36246,00:11:14:26,00:11:22:22,20246,20482,00:11:13:20,00:11:21:17,16172,16361,2,-1,1
3,00:10:05:10,00:10:18:36,36274,37079,00:11:23:06,00:11:36:19,20496,20899,00:11:22:04,00:11:35:15,16372,16695,2,-1,2
3,00:12:45:59,00:12:50:19,45913,46173,00:14:04:05,00:14:08:15,25325,25455,00:14:03:00,00:14:07:08,20232,20336,2,-1,5
3,00:12:50:47,00:12:54:47,46201,46440,00:14:08:29,00:14:12:29,25469,25589,00:14:07:19,00:14:11:19,20347,20443,2,-1,1
3,00:13:15:14,00:13:18:34,47666,47866,00:14:33:14,00:14:36:24,26204,26304,00:14:32:06,00:14:35:14,20934,21014,2,-1,1
3,00:13:45:12,00:13:51:31,49462,49841,00:15:03:13,00:15:09:23,27103,27293,00:15:02:05,00:15:08:13,21653,21805,2,-1,1
3,00:13:54:49,00:14:01:11,50039,50420,00:15:13:02,00:15:19:14,27392,27584,00:15:11:20,00:15:18:05,21884,22037,2,-1,1
3,00:14:06:13,00:14:15:34,50722,51283,00:15:24:15,00:15:33:26,27735,28016,00:15:23:06,00:15:32:14,22158,22382,2,-1,1
3,00:14:19:47,00:14:42:23,51535,52890,00:15:38:02,00:16:00:21,28142,28821,00:15:36:19,00:15:59:10,22483,23026,2,-1,1
3,00:14:54:59,00:15:03:03,53645,54129,00:16:13:09,00:16:21:11,29199,29441,00:16:12:00,00:16:20:02,23328,23522,2,-1,1
3,00:15:46:06,00:15:58:57,56709,57479,00:17:04:14,00:17:17:10,30734,31120,00:17:03:03,00:17:16:00,24555,24864,2,-1,5
3,00:16:00:29,00:16:12:19,57571,58280,00:17:18:26,00:17:30:22,31166,31522,00:17:17:13,00:17:29:08,24901,25184,2,-1,1
3,00:19:50:56,00:20:04:08,71384,72175,00:21:09:17,00:21:22:23,38087,38483,00:21:08:00,00:21:21:04,30432,30748,1,-1,9
3,00:20:11:35,00:20:23:03,72622,73309,00:21:30:07,00:21:41:22,38707,39052,00:21:28:16,00:21:40:03,30928,31203,1,-1,9
3,00:20:24:55,00:20:38:53,73421,74258,00:21:43:18,00:21:57:17,39108,39527,00:21:41:23,00:21:55:22,31247,31582,1,-1,9
3,00:20:48:52,00:20:59:22,74857,75486,00:22:07:17,00:22:18:02,39827,40142,00:22:05:22,00:22:16:10,31822,32074,1,-1,9
3,00:21:23:42,00:21:49:02,76945,78463,00:22:42:13,00:23:07:24,40873,41634,00:22:40:19,00:23:06:03,32659,33267,1,-1,8
4,00:03:24:03,00:03:26:27,12231,12375,00:04:27:22,00:04:30:04,8032,8104,00:04:27:06,00:04:29:16,6414,6472,0,-1,3
4,00:05:57:58,00:06:29:11,21457,23328,00:07:01:20,00:07:32:26,12650,13586,00:07:01:04,00:07:32:09,10108,10857,1,-1,9
4,00:08:26:29,00:08:46:42,30359,31571,00:09:30:05,00:09:50:12,17105,17712,00:09:29:16,00:09:49:22,13672,14158,1,-1,9
4,00:09:20:00,00:10:11:16,33567,36640,00:10:23:21,00:11:14:29,18711,20249,00:10:23:05,00:11:14:11,14957,16187,1,-1,9
4,00:10:27:37,00:10:53:02,37620,39143,00:11:31:10,00:11:56:22,20740,21502,00:11:30:19,00:11:56:05,16579,17189,3,-1,9
4,00:03:25:23,00:03:27:27,12311,12435,00:04:29:02,00:04:31:04,8072,8134,00:04:28:14,00:04:30:16,6446,6496,0,-1,3
4,00:07:44:54,00:07:54:49,27867,28461,00:08:48:18,00:08:58:15,15858,16155,00:08:48:03,00:08:58:00,12675,12912,0,-1,1
4,00:09:42:10,00:10:02:22,34896,36106,00:10:45:26,00:11:06:02,19376,19982,00:10:45:08,00:11:05:13,15488,15973,3,-1,9
4,00:12:00:23,00:12:00:25,43180,43182,00:13:04:02,00:13:04:03,23522,23523,00:13:03:13,00:13:03:14,18805,18806,4,-1,9
4,00:12:00:23,00:12:00:25,43180,43182,00:13:04:02,00:13:04:03,23522,23523,00:13:03:13,00:13:03:14,18805,18806,4,-1,9
4,00:03:01:30,00:03:08:55,10880,11324,00:04:05:06,00:04:12:18,7356,7578,00:04:04:17,00:04:12:03,5873,6051,2,-1,3
4,00:03:16:04,00:03:27:51,11753,12459,00:04:19:23,00:04:31:16,7793,8146,00:04:19:07,00:04:31:01,6223,6505,2,-1,3
4,00:03:32:34,00:04:58:19,12742,17882,00:04:36:08,00:06:02:01,8288,10861,00:04:35:19,00:06:01:13,6619,8677,2,-1,2
4,00:04:58:47,00:05:02:08,17910,18110,00:06:02:15,00:06:05:25,10875,10975,00:06:02:00,00:06:05:08,8688,8768,2,-1,3
4,00:05:07:34,00:05:15:17,18436,18899,00:06:11:08,00:06:19:00,11138,11370,00:06:10:18,00:06:18:12,8898,9084,2,-1,3
4,00:05:52:22,00:07:10:59,21121,25834,00:06:56:02,00:08:14:20,12482,14840,00:06:55:13,00:08:14:04,9973,11860,1,-1,9
4,00:05:52:22,00:07:10:59,21121,25834,00:06:56:02,00:08:14:20,12482,14840,00:06:55:13,00:08:14:04,9973,11860,2,-1,9
5,00:05:33:18,00:05:37:58,19979,20258,00:06:08:02,00:06:12:22,11042,11182,00:06:08:00,00:06:12:16,8832,8944,0,-1,3
5,00:06:58:28,00:07:01:31,25083,25266,00:07:33:07,00:07:36:09,13597,13689,00:07:33:05,00:07:36:07,10877,10951,0,-1,3
5,00:09:27:51,00:09:40:39,34038,34805,00:10:02:19,00:10:15:13,18079,18463,00:10:02:17,00:10:15:12,14465,14772,0,-1,9
5,00:03:10:30,00:03:15:49,11419,11738,00:03:45:08,00:03:50:18,6758,6918,00:03:45:03,00:03:50:11,5403,5531,0,-1,2
5,00:04:35:03,00:04:41:36,16487,16880,00:05:09:25,00:05:16:12,9295,9492,00:05:09:17,00:05:16:07,7433,7591,0,-1,2
5,00:05:34:57,00:05:38:06,20077,20266,00:06:09:21,00:06:12:26,11091,11186,00:06:09:15,00:06:12:19,8871,8947,0,-1,3
5,00:06:59:32,00:07:03:35,25147,25390,00:07:34:09,00:07:38:11,13629,13751,00:07:34:07,00:07:38:08,10903,11000,0,-1,3
5,00:09:29:16,00:09:41:31,34122,34857,00:10:04:01,00:10:16:09,18121,18489,00:10:04:03,00:10:16:09,14499,14793,0,-1,9
5,00:09:50:00,00:09:57:01,35365,35786,00:10:24:23,00:10:31:23,18743,18953,00:10:24:21,00:10:31:21,14997,15165,4,-1,9
5,00:09:50:00,00:09:57:01,35365,35786,00:10:24:23,00:10:31:23,18743,18953,00:10:24:21,00:10:31:21,14997,15165,4,-1,9
5,00:04:11:55,00:04:14:19,15100,15244,00:04:46:21,00:04:49:03,8601,8673,00:04:46:14,00:04:48:23,6878,6935,6,-1,3
5,00:03:21:28,00:03:26:58,12076,12406,00:03:56:07,00:04:01:22,7087,7252,00:03:56:02,00:04:01:14,5666,5798,2,-1,3
5,00:03:32:01,00:04:06:49,12709,14795,00:04:06:24,00:04:41:18,7404,8448,00:04:06:16,00:04:41:11,5920,6755,2,-1,3
5,00:07:26:29,00:07:34:49,26763,27262,00:08:01:07,00:08:09:17,14437,14687,00:08:01:06,00:08:09:14,11550,11750,5,-1,-1
5,00:07:43:36,00:07:48:51,27789,28103,00:08:18:11,00:08:23:18,14951,15108,00:08:18:10,00:08:23:15,11962,12087,5,-1,-1
5,00:07:52:29,00:08:00:36,28321,28808,00:08:27:07,00:08:35:11,15217,15461,00:08:27:06,00:08:35:10,12174,12370,5,-1,-1
6,00:03:05:15,00:03:06:37,11104,11186,00:07:19:12,00:07:20:23,13182,13223,00:07:18:15,00:07:20:00,10527,10560,0,-1,3
6,00:03:24:40,00:03:25:58,12268,12346,00:07:38:25,00:07:40:04,13765,13804,00:07:38:02,00:07:39:09,10994,11025,0,-1,3
6,00:03:37:18,00:03:44:20,13025,13447,00:07:51:14,00:07:58:15,14144,14355,00:07:50:17,00:07:57:18,11297,11466,1,-1,8
6,00:06:23:34,00:06:37:08,22992,23805,00:10:37:23,00:10:51:10,19133,19540,00:10:37:05,00:10:50:19,15293,15619,3,-1,9
6,00:07:07:34,00:07:24:14,25629,26628,00:11:21:23,00:11:38:12,20453,20952,00:11:21:06,00:11:37:23,16350,16751,3,-1,9
6,00:01:33:14,00:01:34:08,5589,5643,00:05:47:12,00:05:48:09,10422,10449,00:05:46:12,00:05:47:10,8316,8338,0,-1,2
6,00:01:37:54,00:01:40:04,5869,5999,00:05:52:02,00:05:54:07,10562,10627,00:05:51:04,00:05:53:08,8428,8480,0,-1,2
6,00:03:05:39,00:03:07:39,11128,11248,00:07:19:24,00:07:21:24,13194,13254,00:07:19:01,00:07:21:01,10537,10585,0,-1,3
6,00:03:25:42,00:03:27:42,12330,12450,00:07:39:26,00:07:41:26,13796,13856,00:07:39:03,00:07:41:03,11019,11067,0,-1,3
6,00:06:24:45,00:06:38:16,23062,23873,00:10:38:28,00:10:52:14,19168,19574,00:10:38:09,00:10:51:22,15321,15646,3,-1,9
6,00:07:08:58,00:07:25:04,25713,26678,00:11:23:05,00:11:39:07,20495,20977,00:11:22:16,00:11:38:19,16384,16771,3,-1,9
6,00:07:04:24,00:07:24:36,25439,26650,00:11:18:18,00:11:38:23,20358,20963,00:11:18:02,00:11:38:07,16274,16759,4,-1,9
6,00:03:29:22,00:04:01:48,12550,14494,00:07:43:16,00:08:15:29,13906,14879,00:07:42:19,00:08:15:06,11107,11886,1,-1,8
6,00:03:29:22,00:04:01:48,12550,14494,00:07:43:16,00:08:15:29,13906,14879,00:07:42:19,00:08:15:06,11107,11886,2,-1,8
6,00:04:08:59,00:04:34:59,14925,16483,00:08:23:05,00:08:49:05,15095,15875,00:08:22:11,00:08:48:11,12059,12683,2,-1,9
6,00:04:38:39,00:04:52:13,16703,17516,00:08:52:25,00:09:06:11,15985,16391,00:08:52:04,00:09:05:17,12772,13097,2,-1,9
6,00:05:29:24,00:05:43:32,19745,20592,00:09:43:17,00:09:57:21,17507,17931,00:09:42:23,00:09:57:03,13991,14331,2,-1,9
6,00:05:55:00,00:06:12:27,21279,22325,00:10:09:05,00:10:26:19,18275,18799,00:10:08:14,00:10:26:02,14606,15026,2,-1,9
7,00:00:43:48,00:00:56:25,2626,3382,00:02:15:00,00:02:27:19,4050,4429,00:02:14:06,00:02:26:21,3222,3525,3,-1,7
7,00:05:09:24,00:05:15:26,18546,18908,00:06:40:18,00:06:46:19,12018,12199,00:06:39:17,00:06:45:17,9593,9737,0,-1,3
7,00:05:38:17,00:05:41:19,20277,20459,00:07:09:14,00:07:12:15,12884,12975,00:07:08:13,00:07:11:14,10285,10358,0,-1,3
7,00:04:49:14,00:04:50:07,17337,17390,00:06:20:12,00:06:21:09,11412,11439,00:06:19:13,00:06:20:10,9109,9130,0,-1,3
7,00:05:10:12,00:05:17:54,18594,19055,00:06:41:12,00:06:49:03,12042,12273,00:06:40:12,00:06:48:05,9612,9797,0,-1,3
7,00:05:40:15,00:05:43:17,20395,20577,00:07:11:13,00:07:14:14,12943,13034,00:07:10:13,00:07:13:13,10333,10405,0,-1,3
7,00:01:22:59,00:01:37:43,4975,5858,00:02:54:06,00:03:08:28,5226,5668,00:02:53:10,00:03:08:04,4162,4516,2,-1,0
7,00:01:38:35,00:01:55:32,5910,6926,00:03:09:24,00:03:26:22,5694,6202,00:03:09:00,00:03:25:23,4536,4943,2,-1,0
7,00:03:20:45,00:03:27:42,12034,12450,00:04:51:29,00:04:58:27,8759,8967,00:04:51:03,00:04:58:01,6987,7153,2,-1,3
7,00:06:03:29,00:06:23:44,21788,23002,00:07:34:20,00:07:54:28,13640,14248,00:07:33:18,00:07:54:00,10890,11376,2,-1,8
7,00:06:24:15,00:06:46:24,23032,24360,00:07:55:13,00:08:17:17,14263,14927,00:07:54:12,00:08:16:15,11388,11919,2,-1,11
7,00:06:47:12,00:06:57:38,24408,25034,00:08:18:11,00:08:28:25,14951,15265,00:08:17:10,00:08:27:21,11938,12189,2,-1,8
7,00:07:08:20,00:07:12:16,25675,25911,00:08:39:15,00:08:43:13,15585,15703,00:08:38:13,00:08:42:12,12445,12540,2,-1,9
7,00:07:08:20,00:07:12:16,25675,25911,00:08:39:15,00:08:43:13,15585,15703,00:08:38:13,00:08:42:12,12445,12540,1,-1,9
7,00:07:08:20,00:07:12:16,25675,25911,00:08:39:15,00:08:43:13,15585,15703,00:08:38:13,00:08:42:12,12445,12540,1,-1,9
7,00:07:17:36,00:07:21:30,26230,26464,00:08:48:23,00:08:52:20,15863,15980,00:08:47:20,00:08:51:17,12668,12761,2,-1,9
7,00:07:17:36,00:07:21:30,26230,26464,00:08:48:23,00:08:52:20,15863,15980,00:08:47:20,00:08:51:17,12668,12761,1,-1,9
7,00:07:25:27,00:07:27:59,26701,26853,00:08:56:19,00:08:59:05,16099,16175,00:08:55:16,00:08:58:05,12856,12917,1,-1,10
7,00:07:30:11,00:07:32:18,26985,27111,00:09:01:11,00:09:03:14,16241,16304,00:09:00:09,00:09:02:12,12969,13020,1,-1,1
7,00:07:36:25,00:07:38:45,27358,27498,00:09:07:17,00:09:09:27,16427,16497,00:09:06:15,00:09:08:23,13119,13175,1,-1,1
7,00:07:42:58,00:07:45:42,27751,27915,00:09:14:04,00:09:16:26,16624,16706,00:09:13:04,00:09:15:22,13276,13342,1,-1,1
7,00:07:50:03,00:07:53:22,28175,28374,00:09:21:06,00:09:24:16,16836,16936,00:09:20:06,00:09:23:13,13446,13525,1,-1,1
7,00:07:59:00,00:08:07:02,28712,29193,00:09:30:05,00:09:38:06,17105,17346,00:09:29:04,00:09:37:05,13660,13853,1,-1,9
7,00:08:09:06,00:08:16:47,29317,29778,00:09:40:08,00:09:47:28,17408,17638,00:09:39:07,00:09:46:23,13903,14087,1,-1,9
8,00:09:07:39,00:09:10:08,32827,32976,00:10:06:24,00:10:09:09,18204,18279,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,3,-1,9
8,00:10:23:50,00:10:34:30,37393,38032,00:11:23:03,00:11:33:23,20493,20813,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,8
8,00:10:37:09,00:10:37:55,38191,38237,00:11:36:13,00:11:37:06,20893,20916,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,8
8,00:05:56:53,00:05:58:23,21392,21482,00:06:55:22,00:06:57:07,12472,12517,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,3
8,00:09:08:14,00:09:27:16,32862,34003,00:10:07:12,00:10:26:14,18222,18794,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,9
8,00:10:34:08,00:10:39:07,38010,38309,00:11:33:12,00:11:38:12,20802,20952,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,8
8,00:07:11:13,00:07:18:20,25848,26274,00:08:10:06,00:08:17:09,14706,14919,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,1
8,00:07:22:29,00:07:31:37,26523,27070,00:08:21:14,00:08:30:19,15044,15319,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,1
8,00:07:39:44,00:08:36:22,27557,30952,00:08:38:23,00:09:35:14,15563,17264,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,9
8,00:08:00:59,00:08:13:55,28831,29606,00:09:00:01,00:09:13:00,16201,16590,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,9
8,00:08:17:19,00:08:36:22,29810,30952,00:09:16:12,00:09:35:14,16692,17264,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,9
8,00:08:38:52,00:09:27:22,31101,34009,00:09:37:29,00:10:26:17,17339,18797,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,9
8,00:09:30:10,00:09:51:15,34176,35440,00:10:29:11,00:10:50:14,18881,19514,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,9
8,00:10:23:58,00:10:46:37,37401,38759,00:11:23:07,00:11:45:28,20497,21178,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,8
9,00:01:52:09,00:02:09:01,6723,7734,00:03:19:00,00:03:35:26,5970,6476,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,0
9,00:02:58:18,00:03:00:14,10688,10804,00:04:25:05,00:04:27:03,7955,8013,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,0
9,00:03:23:59,00:03:37:53,12227,13060,00:04:50:25,00:05:04:22,8725,9142,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,2
9,00:04:21:24,00:04:55:52,15669,17735,00:05:48:08,00:06:22:22,10448,11482,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,3,-1,2
9,00:05:01:12,00:05:02:28,18054,18130,00:06:28:02,00:06:29:10,11642,11680,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,2
9,00:05:42:48,00:05:44:12,20548,20632,00:07:09:20,00:07:11:02,12890,12932,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,3
9,00:06:04:13,00:06:27:50,21832,23247,00:07:31:03,00:07:54:21,13533,14241,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,3
9,00:06:50:25,00:06:52:31,24601,24727,00:08:17:09,00:08:19:12,14919,14982,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,3
9,00:08:35:10,00:08:43:11,30880,31360,00:10:02:01,00:10:10:01,18061,18301,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,3,-1,1
9,00:11:09:32,00:11:48:57,40132,42495,00:12:36:12,00:13:15:25,22692,23875,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,3,-1,9
9,00:12:15:24,00:12:37:33,44080,45408,00:13:42:08,00:14:04:13,24668,25333,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,9
9,00:13:09:45,00:13:47:44,47338,49615,00:14:36:19,00:15:14:19,26299,27439,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,1,-1,9
9,00:05:35:06,00:05:36:38,20086,20178,00:07:01:29,00:07:03:15,12659,12705,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,3
9,00:06:26:12,00:06:28:12,23149,23269,00:07:53:02,00:07:55:02,14192,14252,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,3
9,00:06:51:25,00:06:53:09,24661,24765,00:08:18:09,00:08:20:01,14949,15001,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,3
9,00:08:39:01,00:08:42:51,31110,31340,00:10:05:26,00:10:09:21,18176,18291,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,1
9,00:10:48:09,00:10:56:48,38851,39369,00:12:15:01,00:12:23:20,22051,22310,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,9
9,00:11:10:40,00:11:57:35,40200,43013,00:12:37:16,00:13:24:14,22726,24134,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,3,-1,9
9,00:13:26:23,00:13:34:40,48335,48832,00:14:53:08,00:15:01:17,26798,27047,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,0,-1,9
9,00:01:53:31,00:02:34:25,6805,9256,00:03:20:11,00:04:01:08,6011,7238,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,7,-1,0
9,00:05:53:22,00:06:28:06,21181,23263,00:07:20:07,00:07:54:29,13207,14249,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,7,-1,3
9,00:07:01:17,00:07:06:23,25252,25558,00:08:28:05,00:08:33:08,15245,15398,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,2,-1,8
