subject_id,str_GoPro_ts,end_GoPro_ts,str_GoPro_frame,end_GoPro_frame,str_SMI_w_ts,end_SMI_w_ts,str_SMI_w_frame,end_SMI_w_frame,str_SMI_wo_ts,end_SMI_wo_ts,str_SMI_wo_frame,end_SMI_wo_frame,action_label
2,00:01:32:57,00:01:47:52,5572,6466,00:03:04:25,00:03:19:22,5545,5992,00:03:03:21,00:03:18:19,4413,4771,6
2,00:01:48:08,00:02:06:15,6482,7568,00:03:20:00,00:03:38:03,6000,6543,00:03:19:01,00:03:37:03,4777,5211,0
2,00:02:06:30,00:02:23:33,7583,8605,00:03:38:11,00:03:55:13,6551,7063,00:03:37:10,00:03:54:10,5218,5626,2
2,00:02:07:08,00:02:08:32,7621,7705,00:03:39:00,00:03:40:12,6570,6612,00:03:38:01,00:03:39:10,5233,5266,10
2,00:03:06:43,00:03:56:29,11192,14175,00:04:38:17,00:05:28:10,8357,9850,00:04:37:13,00:05:27:06,6661,7854,2
2,00:03:56:59,00:04:01:30,14205,14476,00:05:28:25,00:05:33:11,9865,10001,00:05:27:18,00:05:32:07,7866,7975,3
2,00:04:06:34,00:04:18:53,14780,15518,00:05:38:13,00:05:50:23,10153,10523,00:05:37:09,00:05:49:16,8097,8392,3
2,00:04:24:11,00:04:38:19,15836,16683,00:05:56:02,00:06:10:06,10682,11106,00:05:54:23,00:06:09:02,8519,8858,0
2,00:04:43:01,00:06:12:13,16965,22311,00:06:14:27,00:07:44:03,11247,13923,00:06:13:19,00:07:42:21,8971,11109,2
2,00:06:13:03,00:06:16:39,22361,22577,00:07:44:28,00:07:48:16,13948,14056,00:07:43:17,00:07:47:08,11129,11216,3
2,00:06:21:47,00:06:29:47,22885,23364,00:07:53:20,00:08:01:20,14210,14450,00:07:52:11,00:08:00:11,11339,11531,3
2,00:06:46:20,00:06:59:05,24356,25120,00:08:18:06,00:08:30:28,14946,15328,00:08:17:00,00:08:29:17,11928,12233,5
2,00:07:02:11,00:07:21:51,25306,26485,00:08:34:02,00:08:53:22,15422,16012,00:08:32:19,00:08:52:11,12307,12779,9
2,00:07:26:17,00:07:33:06,26751,27159,00:08:58:05,00:09:04:29,16145,16349,00:08:56:22,00:09:03:17,12886,13049,1
2,00:07:37:54,00:07:42:30,27447,27723,00:09:09:23,00:09:14:11,16493,16631,00:09:08:12,00:09:13:02,13164,13274,1
2,00:07:45:01,00:08:06:57,27874,29188,00:09:16:27,00:09:38:25,16707,17365,00:09:15:15,00:09:37:12,13335,13860,9
2,00:08:08:37,00:08:13:03,29288,29554,00:09:40:15,00:09:44:28,17415,17548,00:09:39:04,00:09:43:15,13900,14007,1
2,00:08:15:37,00:08:19:27,29708,29938,00:09:47:15,00:09:51:10,17625,17740,00:09:46:04,00:09:50:00,14068,14160,1
2,00:08:25:09,00:08:25:29,30279,30299,00:09:57:01,00:09:57:11,17911,17921,00:09:55:17,00:09:56:01,14297,14305,8
2,00:08:25:23,00:08:27:45,30293,30435,00:09:57:08,00:09:59:19,17918,17989,00:09:55:23,00:09:58:08,14303,14360,6
2,00:08:27:31,00:08:38:18,30421,31067,00:09:59:12,00:10:10:05,17982,18305,00:09:58:02,00:10:08:20,14354,14612,5
2,00:08:32:23,00:08:38:18,30713,31067,00:10:04:08,00:10:10:05,18128,18305,00:10:02:23,00:10:08:20,14471,14612,6
2,00:08:39:02,00:09:29:46,31111,34152,00:10:10:27,00:11:01:19,18327,19849,00:10:09:14,00:11:00:06,14630,15846,8
2,00:08:51:40,00:09:01:34,31869,32462,00:10:23:16,00:10:33:14,18706,19004,00:10:22:05,00:10:32:02,14933,15170,11
3,00:00:13:50,00:00:50:20,830,3017,00:01:31:07,00:02:07:23,2737,3833,00:01:30:20,00:02:07:07,2180,3055,4
3,00:00:53:32,00:01:02:05,3209,3722,00:02:10:29,00:02:19:16,3929,4186,00:02:10:12,00:02:19:01,3132,3337,7
3,00:01:02:07,00:01:32:32,3724,5547,00:02:19:17,00:02:50:01,4187,5101,00:02:19:02,00:02:49:12,3338,4068,10
3,00:01:32:48,00:01:53:31,5563,6805,00:02:50:09,00:03:11:01,5109,5731,00:02:49:18,00:03:10:12,4074,4572,4
3,00:01:56:22,00:01:58:06,6975,7079,00:03:13:26,00:03:15:18,5816,5868,00:03:13:08,00:03:15:01,4640,4681,7
3,00:01:58:08,00:02:22:05,7081,8517,00:03:15:19,00:03:39:19,5869,6589,00:03:15:02,00:03:39:01,4682,5257,6
3,00:02:13:59,00:02:21:25,8031,8477,00:03:31:15,00:03:38:29,6345,6569,00:03:30:23,00:03:38:09,5063,5241,4
3,00:02:31:21,00:02:49:48,9072,10178,00:03:48:27,00:04:07:11,6867,7421,00:03:48:07,00:04:06:18,5479,5922,0
3,00:02:50:18,00:03:11:09,10208,11458,00:04:07:26,00:04:28:22,7436,8062,00:04:07:06,00:04:28:03,5934,6435,4
3,00:03:16:41,00:03:23:49,11790,12217,00:04:34:08,00:04:41:12,8228,8442,00:04:33:16,00:04:40:19,6568,6739,10
3,00:03:24:27,00:05:56:40,12255,21379,00:04:42:01,00:07:14:13,8461,13033,00:04:41:10,00:07:13:16,6754,10408,2
3,00:06:05:08,00:06:09:32,21886,22150,00:07:22:27,00:07:27:09,13287,13419,00:07:22:03,00:07:26:12,10611,10716,2
3,00:06:14:05,00:06:38:27,22423,23883,00:07:31:26,00:07:56:08,13556,14288,00:07:31:02,00:07:55:10,10826,11410,0
3,00:06:43:07,00:07:44:59,24163,27871,00:08:00:28,00:09:02:26,14428,16286,00:08:00:02,00:09:01:23,11522,13007,2
3,00:07:45:01,00:08:08:38,27873,29289,00:09:02:27,00:09:26:16,16287,16996,00:09:02:00,00:09:25:15,13008,13575,4
3,00:08:09:44,00:08:35:55,29355,30924,00:09:27:19,00:09:53:25,17029,17815,00:09:26:18,00:09:52:22,13602,14230,3
3,00:08:38:03,00:08:51:43,31052,31871,00:09:55:29,00:10:09:20,17879,18290,00:09:55:01,00:10:08:17,14281,14609,4
3,00:08:57:28,00:09:29:15,32216,34121,00:10:15:13,00:10:47:07,18463,19417,00:10:14:11,00:10:46:06,14747,15510,3
3,00:09:41:49,00:09:56:01,34874,35725,00:10:59:24,00:11:14:01,19794,20221,00:10:58:20,00:11:13:00,15812,16152,5
3,00:09:56:51,00:10:04:42,35775,36246,00:11:14:26,00:11:22:22,20246,20482,00:11:13:20,00:11:21:17,16172,16361,1
3,00:10:05:10,00:10:18:36,36274,37079,00:11:23:06,00:11:36:19,20496,20899,00:11:22:04,00:11:35:15,16372,16695,2
3,00:10:23:07,00:10:34:49,37350,38051,00:11:41:05,00:11:52:26,21035,21386,00:11:40:03,00:11:51:20,16803,17084,0
3,00:10:38:25,00:11:09:08,38267,40108,00:11:56:14,00:12:27:07,21494,22417,00:11:55:10,00:12:26:04,17170,17908,3
3,00:11:18:32,00:11:23:42,40671,40981,00:12:36:19,00:12:41:24,22699,22854,00:12:35:13,00:12:40:17,18133,18257,1
3,00:11:24:52,00:11:30:23,41051,41382,00:12:42:29,00:12:48:15,22889,23055,00:12:41:21,00:12:47:10,18285,18418,3
3,00:11:36:30,00:11:48:20,41748,42457,00:12:54:18,00:13:06:13,23238,23593,00:12:53:12,00:13:05:08,18564,18848,3
3,00:11:52:07,00:11:55:37,42684,42894,00:13:10:07,00:13:13:23,23707,23813,00:13:09:03,00:13:12:15,18939,19023,3
3,00:11:55:09,00:12:37:30,42866,45404,00:13:13:09,00:13:55:20,23799,25070,00:13:12:04,00:13:54:12,19012,20028,4
3,00:12:38:52,00:12:39:36,45486,45530,00:13:57:01,00:13:57:23,25111,25133,00:13:55:21,00:13:56:15,20061,20079,3
3,00:12:42:34,00:12:43:23,45708,45757,00:14:00:22,00:14:01:17,25222,25247,00:13:59:14,00:14:00:10,20150,20170,10
3,00:12:45:59,00:12:50:19,45913,46173,00:14:04:05,00:14:08:15,25325,25455,00:14:03:00,00:14:07:08,20232,20336,5
3,00:12:50:47,00:12:54:47,46201,46440,00:14:08:29,00:14:12:29,25469,25589,00:14:07:19,00:14:11:19,20347,20443,1
3,00:12:57:33,00:13:06:44,46606,47157,00:14:15:23,00:14:24:29,25673,25949,00:14:14:14,00:14:23:18,20510,20730,3
3,00:13:15:14,00:13:18:34,47666,47866,00:14:33:14,00:14:36:24,26204,26304,00:14:32:06,00:14:35:14,20934,21014,1
3,00:13:18:54,00:13:21:10,47886,48022,00:14:37:04,00:14:39:12,26314,26382,00:14:35:22,00:14:38:05,21022,21077,3
3,00:13:23:24,00:13:29:14,48156,48505,00:14:41:19,00:14:47:14,26449,26624,00:14:40:10,00:14:46:06,21130,21270,2
3,00:13:33:18,00:13:34:06,48749,48797,00:14:51:16,00:14:52:10,26746,26770,00:14:50:08,00:14:51:03,21368,21387,8
3,00:13:41:15,00:14:46:15,49226,53122,00:14:59:15,00:16:04:17,26985,28937,00:14:58:07,00:16:03:07,21559,23119,3
3,00:13:45:12,00:13:51:31,49462,49841,00:15:03:13,00:15:09:23,27103,27293,00:15:02:05,00:15:08:13,21653,21805,1
3,00:13:54:49,00:14:01:11,50039,50420,00:15:13:02,00:15:19:14,27392,27584,00:15:11:20,00:15:18:05,21884,22037,1
3,00:14:06:13,00:14:15:34,50722,51283,00:15:24:15,00:15:33:26,27735,28016,00:15:23:06,00:15:32:14,22158,22382,1
3,00:14:19:47,00:14:42:23,51535,52890,00:15:38:02,00:16:00:21,28142,28821,00:15:36:19,00:15:59:10,22483,23026,1
3,00:14:48:37,00:14:51:56,53264,53462,00:16:06:28,00:16:10:07,29008,29107,00:16:05:16,00:16:08:23,23176,23255,2
3,00:14:54:59,00:15:03:03,53645,54129,00:16:13:09,00:16:21:11,29199,29441,00:16:12:00,00:16:20:02,23328,23522,1
3,00:15:03:25,00:15:24:19,54151,55403,00:16:21:22,00:16:42:20,29452,30080,00:16:20:11,00:16:41:08,23531,24032,3
3,00:15:25:09,00:15:36:13,55453,56117,00:16:43:15,00:16:54:18,30105,30438,00:16:42:04,00:16:53:06,24052,24318,3
3,00:15:36:55,00:15:45:12,56159,56655,00:16:55:09,00:17:03:17,30459,30707,00:16:53:23,00:17:02:06,24335,24534,4
3,00:15:46:06,00:15:58:57,56709,57479,00:17:04:14,00:17:17:10,30734,31120,00:17:03:03,00:17:16:00,24555,24864,5
3,00:16:00:29,00:16:12:19,57571,58280,00:17:18:26,00:17:30:22,31166,31522,00:17:17:13,00:17:29:08,24901,25184,1
3,00:16:12:55,00:16:15:25,58316,58466,00:17:31:10,00:17:33:25,31540,31615,00:17:29:23,00:17:32:11,25199,25259,3
3,00:16:23:22,00:16:35:10,58943,59650,00:17:41:24,00:17:53:18,31854,32208,00:17:40:10,00:17:52:05,25450,25733,3
3,00:16:12:05,00:16:15:47,58266,58488,00:17:30:15,00:17:34:06,31515,31626,00:17:29:03,00:17:32:20,25179,25268,3
3,00:16:18:33,00:16:35:10,58654,59650,00:17:36:29,00:17:53:18,31709,32208,00:17:35:14,00:17:52:05,25334,25733,3
3,00:16:49:00,00:17:25:24,60479,62661,00:18:07:13,00:18:43:27,32623,33717,00:18:06:01,00:18:42:11,26065,26939,3
3,00:17:37:38,00:17:40:12,63394,63548,00:18:56:04,00:18:58:21,34084,34161,00:18:54:16,00:18:57:06,27232,27294,1
3,00:17:59:23,00:18:00:55,64698,64790,00:19:17:27,00:19:19:13,34737,34783,00:19:16:11,00:19:17:23,27755,27791,1
3,00:18:04:33,00:18:24:33,65008,66206,00:19:23:02,00:19:43:03,34892,35493,00:19:21:14,00:19:41:14,27878,28358,3
3,00:18:26:53,00:18:35:42,66346,66875,00:19:45:13,00:19:54:08,35563,35828,00:19:43:22,00:19:52:18,28414,28626,1
3,00:18:45:14,00:19:01:22,67446,68413,00:20:03:24,00:20:19:28,36114,36598,00:20:02:07,00:20:18:10,28855,29242,3
3,00:19:02:15,00:19:07:53,68466,68804,00:20:20:25,00:20:26:14,36625,36794,00:20:19:07,00:20:24:23,29263,29399,1
3,00:19:16:13,00:19:46:32,69303,71120,00:20:34:24,00:21:05:05,37044,37955,00:20:33:07,00:21:03:14,29599,30326,4
3,00:19:50:56,00:20:04:08,71384,72175,00:21:09:17,00:21:22:23,38087,38483,00:21:08:00,00:21:21:04,30432,30748,9
3,00:20:11:35,00:20:23:03,72622,73309,00:21:30:07,00:21:41:22,38707,39052,00:21:28:16,00:21:40:03,30928,31203,9
3,00:20:24:55,00:20:38:53,73421,74258,00:21:43:18,00:21:57:17,39108,39527,00:21:41:23,00:21:55:22,31247,31582,9
3,00:20:48:52,00:20:59:22,74857,75486,00:22:07:17,00:22:18:02,39827,40142,00:22:05:22,00:22:16:10,31822,32074,9
3,00:21:02:49,00:21:21:47,75693,76830,00:22:21:16,00:22:40:15,40246,40815,00:22:19:21,00:22:38:20,32157,32612,4
3,00:21:23:42,00:21:49:02,76945,78463,00:22:42:13,00:23:07:24,40873,41634,00:22:40:19,00:23:06:03,32659,33267,8
4,00:00:14:08,00:00:21:22,848,1281,00:01:17:25,00:01:25:01,2335,2551,00:01:17:09,00:01:24:14,1857,2030,4
4,00:00:23:32,00:00:30:41,1411,1840,00:01:27:06,00:01:34:11,2616,2831,00:01:26:18,00:01:33:22,2082,2254,7
4,00:00:30:43,00:00:59:55,1842,3592,00:01:34:12,00:02:03:18,2832,3708,00:01:33:23,00:02:03:04,2255,2956,10
4,00:01:01:01,00:01:24:16,3658,5051,00:02:04:21,00:02:27:28,3741,4438,00:02:04:06,00:02:27:11,2982,3539,6
4,00:01:23:45,00:01:32:03,5021,5518,00:02:27:13,00:02:35:22,4423,4672,00:02:26:23,00:02:35:07,3527,3727,4
4,00:01:33:15,00:01:51:47,5590,6701,00:02:36:28,00:02:55:14,4708,5264,00:02:36:11,00:02:55:00,3755,4200,0
4,00:01:51:29,00:02:09:43,6683,7776,00:02:55:05,00:03:13:12,5255,5802,00:02:54:17,00:03:12:22,4193,4630,0
4,00:02:10:29,00:03:01:16,7822,10866,00:03:14:05,00:04:04:29,5825,7349,00:03:13:17,00:04:04:12,4649,5868,2
4,00:03:01:30,00:03:08:55,10880,11324,00:04:05:06,00:04:12:18,7356,7578,00:04:04:17,00:04:12:03,5873,6051,3
4,00:03:16:04,00:03:27:51,11753,12459,00:04:19:23,00:04:31:16,7793,8146,00:04:19:07,00:04:31:01,6223,6505,3
4,00:03:32:34,00:04:58:19,12742,17882,00:04:36:08,00:06:02:01,8288,10861,00:04:35:19,00:06:01:13,6619,8677,2
4,00:04:58:47,00:05:02:08,17910,18110,00:06:02:15,00:06:05:25,10875,10975,00:06:02:00,00:06:05:08,8688,8768,3
4,00:05:07:34,00:05:15:17,18436,18899,00:06:11:08,00:06:19:00,11138,11370,00:06:10:18,00:06:18:12,8898,9084,3
4,00:05:24:38,00:05:33:07,19459,19968,00:06:28:10,00:06:36:25,11650,11905,00:06:27:20,00:06:36:08,9308,9512,4
4,00:05:39:36,00:05:49:07,20356,20927,00:06:43:09,00:06:52:25,12099,12385,00:06:42:19,00:06:52:08,9667,9896,5
4,00:05:52:22,00:07:10:59,21121,25834,00:06:56:02,00:08:14:20,12482,14840,00:06:55:13,00:08:14:04,9973,11860,9
4,00:06:35:33,00:06:58:05,23710,25060,00:07:39:07,00:08:01:23,13777,14453,00:07:38:18,00:08:01:07,11010,11551,4
4,00:07:03:47,00:07:18:03,25402,26257,00:08:07:14,00:08:21:22,14624,15052,00:08:07:00,00:08:21:06,11688,12030,1
4,00:07:23:11,00:07:30:06,26565,26980,00:08:26:26,00:08:33:24,15206,15414,00:08:26:09,00:08:33:07,12153,12319,1
4,00:07:34:07,00:07:54:39,27220,28451,00:08:37:24,00:08:58:10,15534,16150,00:08:37:07,00:08:57:20,12415,12908,1
4,00:07:58:38,00:08:09:35,28690,29346,00:09:02:10,00:09:13:08,16270,16598,00:09:01:20,00:09:12:18,13004,13266,1
4,00:08:11:23,00:08:14:08,29454,29619,00:09:15:02,00:09:17:25,16652,16735,00:09:14:14,00:09:17:08,13310,13376,5
4,00:08:21:49,00:09:13:14,30079,33161,00:09:25:15,00:10:16:28,16965,18508,00:09:25:00,00:10:16:10,13560,14794,9
4,00:09:16:28,00:11:04:39,33355,39840,00:10:20:05,00:12:08:11,18605,21851,00:10:19:16,00:12:07:20,14872,17468,9
4,00:11:07:47,00:11:33:03,40028,41542,00:12:11:15,00:12:36:23,21945,22703,00:12:10:23,00:12:36:06,17543,18150,9
4,00:11:38:03,00:12:00:21,41842,43178,00:12:41:23,00:13:04:01,22853,23521,00:12:41:06,00:13:03:13,18270,18805,9
5,00:00:10:17,00:00:22:08,617,1327,00:00:45:02,00:00:56:27,1352,1707,00:00:44:19,00:00:56:15,1075,1359,4
5,00:00:22:34,00:00:33:33,1353,2012,00:00:57:10,00:01:08:10,1720,2050,00:00:57:02,00:01:08:02,1370,1634,7
5,00:00:23:46,00:00:31:01,1425,1860,00:00:58:16,00:01:05:24,1756,1974,00:00:58:07,00:01:05:13,1399,1573,4
5,00:00:33:43,00:00:58:07,2022,3484,00:01:08:15,00:01:32:27,2055,2787,00:01:08:06,00:01:32:16,1638,2224,10
5,00:00:59:03,00:01:09:49,3540,4185,00:01:33:25,00:01:44:18,2815,3138,00:01:33:14,00:01:44:09,2246,2505,4
5,00:01:07:35,00:01:30:47,4051,5442,00:01:42:11,00:02:05:17,3071,3767,00:01:42:03,00:02:05:08,2451,3008,6
5,00:01:12:47,00:01:13:53,4363,4429,00:01:47:17,00:01:48:20,3227,3260,00:01:47:08,00:01:48:10,2576,2602,5
5,00:01:15:11,00:01:16:53,4507,4609,00:01:49:29,00:01:51:20,3299,3350,00:01:49:18,00:01:51:10,2634,2674,5
5,00:01:17:11,00:01:17:31,4627,4647,00:01:51:29,00:01:52:09,3359,3369,00:01:51:18,00:01:52:02,2682,2690,4
5,00:01:20:57,00:01:22:10,4853,4926,00:01:55:22,00:01:56:29,3472,3509,00:01:55:12,00:01:56:18,2772,2802,4
5,00:01:23:12,00:01:25:01,4988,5096,00:01:58:00,00:01:59:24,3540,3594,00:01:57:18,00:01:59:14,2826,2870,4
5,00:01:30:49,00:01:50:46,5444,6640,00:02:05:18,00:02:25:17,3768,4367,00:02:05:09,00:02:25:08,3009,3488,0
5,00:01:47:57,00:01:49:01,6471,6535,00:02:22:22,00:02:23:24,4282,4314,00:02:22:12,00:02:23:14,3420,3446,4
5,00:01:51:28,00:01:55:12,6682,6906,00:02:26:08,00:02:30:00,4388,4500,00:02:26:01,00:02:29:19,3505,3595,4
5,00:01:53:06,00:02:13:20,6780,7993,00:02:27:27,00:02:48:04,4437,5044,00:02:27:16,00:02:47:22,3544,4030,0
5,00:02:12:48,00:02:23:58,7961,8630,00:02:47:18,00:02:58:23,5028,5363,00:02:47:09,00:02:58:13,4017,4285,4
5,00:02:28:38,00:03:17:35,8910,11844,00:03:03:13,00:03:52:11,5503,6971,00:03:03:06,00:03:52:05,4398,5573,2
5,00:03:21:28,00:03:26:58,12076,12406,00:03:56:07,00:04:01:22,7087,7252,00:03:56:02,00:04:01:14,5666,5798,3
5,00:03:32:01,00:04:06:49,12709,14795,00:04:06:24,00:04:41:18,7404,8448,00:04:06:16,00:04:41:11,5920,6755,3
5,00:04:11:55,00:04:14:19,15100,15244,00:04:46:21,00:04:49:03,8601,8673,00:04:46:14,00:04:48:23,6878,6935,3
5,00:04:16:51,00:05:15:22,15396,18904,00:04:51:19,00:05:50:04,8749,10504,00:04:51:12,00:05:50:02,6996,8402,2
5,00:05:16:00,00:05:38:06,18942,20266,00:05:50:23,00:06:12:26,10523,11186,00:05:50:17,00:06:12:19,8417,8947,3
5,00:05:43:24,00:06:09:08,20584,22126,00:06:18:05,00:06:43:27,11345,12117,00:06:18:03,00:06:43:21,9075,9693,3
5,00:06:49:23,00:07:03:59,24539,25414,00:07:24:05,00:07:38:23,13325,13763,00:07:24:03,00:07:38:18,10659,11010,3
5,00:07:26:29,00:07:34:49,26763,27262,00:08:01:07,00:08:09:17,14437,14687,00:08:01:06,00:08:09:14,11550,11750,4
5,00:07:43:36,00:07:48:51,27789,28103,00:08:18:11,00:08:23:18,14951,15108,00:08:18:10,00:08:23:15,11962,12087,4
5,00:07:52:29,00:08:00:36,28321,28808,00:08:27:07,00:08:35:11,15217,15461,00:08:27:06,00:08:35:10,12174,12370,4
5,00:08:00:54,00:08:09:51,28826,29362,00:08:35:20,00:08:44:18,15470,15738,00:08:35:17,00:08:44:15,12377,12591,5
5,00:08:03:40,00:08:08:07,28992,29258,00:08:38:13,00:08:42:26,15553,15686,00:08:38:11,00:08:42:22,12443,12550,4
5,00:08:16:10,00:08:23:03,29741,30153,00:08:50:28,00:08:57:24,15928,16134,00:08:51:00,00:08:57:20,12744,12908,1
5,00:08:26:14,00:08:33:54,30344,30804,00:09:01:00,00:09:08:20,16230,16460,00:09:01:01,00:09:08:17,12985,13169,1
5,00:08:37:34,00:08:41:38,31024,31267,00:09:12:10,00:09:16:12,16570,16692,00:09:12:09,00:09:16:11,13257,13355,1
5,00:08:44:56,00:08:51:22,31465,31851,00:09:19:21,00:09:26:04,16791,16984,00:09:19:18,00:09:26:05,13434,13589,1
5,00:08:57:36,00:09:05:16,32224,32684,00:09:32:11,00:09:40:01,17171,17401,00:09:32:10,00:09:40:02,13738,13922,9
5,00:09:07:30,00:09:14:28,32818,33235,00:09:42:08,00:09:49:07,17468,17677,00:09:42:08,00:09:49:07,13976,14143,9
5,00:09:19:20,00:09:40:47,33527,34813,00:09:54:03,00:10:15:17,17823,18467,00:09:54:04,00:10:15:16,14260,14776,9
5,00:09:50:00,00:09:57:01,35365,35786,00:10:24:23,00:10:31:23,18743,18953,00:10:24:21,00:10:31:21,14997,15165,9
6,-1:-1:-1:-1,-1:-1:-1:-1,-1,-1,00:04:07:02,00:04:22:04,7412,7864,00:04:06:01,00:04:21:04,5905,6268,7
