subject_id,str_SMI_w_ts_LAF,end_SMI_w_ts_LAF,str_SMI_w_ts_Fix,str_SMI_w_ts_Touch,laf_target_label,current_task_label
5,00:05:25:10,00:05:26:04,00:09:41:14,00:09:42:13,1,4
5,00:09:28:01,00:09:30:15,00:09:41:14,00:09:42:13,1,11
6,00:05:18:22,00:05:19:15,00:07:36:00,00:07:36:16,7,4
6,00:08:16:12,00:08:17:26,00:08:24:05,00:08:25:26,4,10
6,00:08:31:11,00:08:32:02,00:08:33:03,00:08:33:24,9,7
6,00:04:57:05,00:04:58:01,00:07:42:10,00:07:43:19,12,12
6,00:04:59:18,00:04:59:25,00:07:42:10,00:07:43:19,12,9
6,00:06:16:12,00:06:16:17,00:06:21:11,00:06:22:06,7,4
6,00:07:22:13,00:07:23:05,00:10:08:21,00:07:23:05,1,5
6,00:07:42:04,00:07:42:07,00:08:50:16,00:08:52:27,1,10
6,00:08:09:22,00:08:10:09,00:08:50:16,00:08:52:27,1,10
6,00:08:18:08,00:08:18:10,00:08:50:16,00:08:52:27,1,10
6,00:08:22:08,00:08:22:15,00:08:50:16,00:08:52:27,1,11
6,00:07:48:22,00:07:49:08,00:07:57:21,00:07:58:11,8,10
6,00:08:19:05,00:08:19:17,00:10:00:08,00:10:09:10,10,1
6,00:08:19:25,00:08:20:06,00:10:00:08,00:10:09:10,10,1
6,00:09:42:02,00:09:42:14,00:10:00:08,00:10:09:10,10,11
6,00:09:53:13,00:09:54:06,00:10:00:08,00:10:09:10,10,11
6,00:08:21:24,00:08:22:06,00:08:22:17,00:08:23:10,1,11
6,00:08:32:19,00:08:33:01,00:08:37:23,00:08:38:14,3,7
6,00:10:26:24,00:10:27:05,00:10:28:28,00:10:29:08,10,11
6,00:10:28:06,00:10:28:10,00:10:28:28,00:10:29:08,10,3
7,00:02:11:19,00:02:12:04,00:02:27:03,00:02:27:28,12,9
7,00:02:26:09,00:02:26:27,00:02:32:02,00:02:32:08,6,7
7,00:07:36:02,00:07:36:10,00:07:40:19,00:07:42:12,11,10
7,00:07:36:25,00:07:37:04,00:07:40:19,00:07:42:12,11,10
7,00:07:37:08,00:07:37:18,00:07:42:28,00:07:44:23,11,10
7,00:07:39:02,00:07:39:13,00:07:42:28,00:07:44:23,11,10
7,00:07:36:14,00:07:36:23,00:08:48:20,00:08:49:09,1,10
7,00:08:47:05,00:08:47:21,00:08:48:20,00:08:49:09,1,11
7,00:07:49:09,00:07:50:21,00:07:51:03,00:07:51:17,12,10
7,00:08:32:27,00:08:33:06,00:09:12:17,00:09:14:13,10,7
7,00:09:11:09,00:09:11:29,00:09:12:17,00:09:14:13,10,3
7,00:08:33:18,00:08:33:28,00:09:20:17,00:09:21:18,10,7
7,00:08:35:15,00:08:35:25,00:09:20:17,00:09:21:18,10,7
7,00:09:17:21,00:09:18:19,00:09:20:17,00:09:21:18,10,3
7,00:08:38:07,00:08:38:21,00:08:39:09,00:08:40:06,1,11
7,00:09:05:24,00:09:06:18,00:09:07:11,00:09:08:13,10,3
8,00:03:22:26,00:03:23:09,00:04:06:28,00:04:13:07,8,2
8,00:03:54:11,00:03:57:14,00:04:06:28,00:04:13:07,8,2
8,00:05:34:03,00:05:37:13,00:07:14:29,00:07:16:10,2,4
8,00:05:40:06,00:05:40:15,00:07:14:29,00:07:16:10,2,4
8,00:05:45:01,00:05:45:12,00:07:14:29,00:07:16:10,2,4
8,00:05:45:29,00:05:47:27,00:07:14:29,00:07:16:10,2,4
8,00:07:14:17,00:07:14:20,00:07:14:29,00:07:16:10,2,1
8,00:06:06:11,00:06:06:20,00:06:08:09,00:06:09:18,10,4
8,00:06:06:21,00:06:06:29,00:06:08:09,00:06:09:18,5,4
8,00:06:07:00,00:06:07:08,00:06:08:09,00:06:09:18,10,1
8,00:06:07:09,00:06:08:07,00:06:08:09,00:06:09:18,5,1
8,00:06:18:17,00:06:18:26,00:06:25:18,00:06:26:19,10,4
8,00:07:13:21,00:07:14:08,00:07:17:18,00:07:17:02,4,1
8,00:07:14:21,00:07:14:27,00:07:17:18,00:07:17:02,4,1
8,00:10:50:19,00:10:51:10,00:11:07:04,00:11:08:13,12,11
8,00:10:55:15,00:10:55:23,00:11:25:29,00:11:26:16,12,13
9,00:02:17:02,00:02:17:09,00:02:55:22,00:02:57:13,6,12
9,00:03:06:14,00:03:07:12,00:04:31:27,00:04:37:13,8,8
9,00:03:17:00,00:03:17:17,00:03:27:24,00:03:28:12,5,8
9,00:06:43:19,00:06:44:10,00:08:26:09,00:08:26:20,4,4
9,00:06:56:21,00:06:57:22,00:07:17:29,00:07:20:08,10,4
9,00:07:27:06,00:07:27:10,00:07:56:17,00:07:59:01,10,4
9,00:08:29:24,00:08:31:10,00:08:32:28,00:08:33:09,11,1
9,00:10:19:13,00:10:20:14,00:10:27:12,00:10:28:23,10,3
9,00:10:35:08,00:10:35:18,00:11:10:10,00:11:12:27,10,3
9,00:10:45:14,00:10:46:08,00:10:47:04,00:10:47:13,3,3
9,00:10:49:08,00:10:50:00,00:10:50:23,00:10:51:28,10,3
9,00:11:06:13,00:11:06:19,00:11:25:04,00:11:26:20,3,3
9,00:11:06:20,00:11:07:06,00:14:14:26,00:14:16:25,1,3
9,00:11:07:29,00:11:08:19,00:14:14:26,00:14:16:25,1,3
9,00:11:27:21,00:11:28:26,00:12:04:06,00:12:06:00,1,11
9,00:12:09:26,00:12:10:04,00:13:29:29,00:13:31:21,3,11
10,00:02:02:05,00:02:02:12,00:02:14:18,00:02:15:27,1,12
10,00:02:09:04,00:02:10:05,00:02:14:18,00:02:15:27,1,12
10,00:02:11:23,00:02:12:10,00:02:14:18,00:02:15:27,1,12
10,00:02:13:19,00:02:13:25,00:02:14:18,00:02:15:27,1,12
10,00:02:06:24,00:02:07:17,00:10:40:12,00:10:40:11,1,12
10,00:02:16:03,00:02:16:20,00:10:40:12,00:10:40:11,1,12
10,00:02:08:10,00:02:08:18,00:02:10:26,00:02:11:21,1,12
10,00:02:13:13,00:02:13:18,00:02:18:16,00:02:20:08,2,12
10,00:02:13:26,00:02:14:08,00:02:18:16,00:02:20:08,2,12
10,00:02:14:10,00:02:14:15,00:02:18:15,00:02:21:03,4,12
10,00:02:29:23,00:02:29:27,00:02:33:13,00:02:35:04,9,8
10,00:02:36:14,00:02:36:22,00:02:37:00,00:02:37:17,6,9
10,00:02:36:24,00:02:36:28,00:02:41:02,00:02:41:27,5,9
10,00:03:38:15,00:03:38:23,00:05:42:25,00:05:45:26,10,2
10,00:05:31:23,00:05:32:01,00:05:42:25,00:05:45:26,10,1
10,00:05:33:08,00:05:33:24,00:05:42:25,00:05:45:26,10,7
10,00:03:40:09,00:03:40:17,00:03:49:11,00:03:51:28,1,2
10,00:03:42:26,00:03:43:04,00:03:49:11,00:03:51:28,1,2
10,00:03:46:15,00:03:46:20,00:03:49:11,00:03:51:28,1,2
10,00:04:42:19,00:04:43:16,00:04:48:17,00:04:51:19,10,4
10,00:05:24:20,00:05:25:01,00:05:25:29,00:05:27:05,2,1
10,00:06:13:22,00:06:13:26,00:06:18:13,00:06:19:10,10,3
10,00:05:59:07,00:05:59:14,00:10:16:07,00:10:16:28,1,3
10,00:06:20:04,00:06:20:11,00:10:16:07,00:10:16:28,1,3
10,00:05:58:00,00:05:58:09,00:06:00:00,00:06:00:19,10,3
10,00:06:08:13,00:06:08:19,00:07:37:10,00:07:38:23,10,3
10,00:06:14:25,00:06:15:13,00:06:33:27,00:06:35:16,10,3
10,00:06:33:03,00:06:33:12,00:06:33:27,00:06:35:16,10,3
10,00:06:33:15,00:06:33:18,00:09:36:26,00:09:38:02,1,3
10,00:08:07:20,00:08:07:29,00:09:36:26,00:09:38:02,2,1
10,00:08:54:26,00:08:55:04,00:08:56:11,00:08:57:19,11,10
10,00:09:09:00,00:09:09:13,00:09:28:24,00:09:30:29,3,1
10,00:09:30:19,00:09:31:00,00:09:31:17,00:09:32:07,2,3
11,00:02:23:25,00:02:24:03,00:04:10:11,00:04:10:20,1,7
11,00:02:50:14,00:02:50:22,00:04:10:11,00:04:10:20,1,7
11,00:02:24:04,00:02:24:23,00:13:02:07,00:13:03:29,1,7
11,00:11:49:06,00:11:49:13,00:13:02:07,00:13:03:29,1,6
11,00:12:31:02,00:12:31:07,00:13:02:07,00:13:03:29,1,11
11,00:12:34:09,00:12:34:15,00:13:02:07,00:13:03:29,1,11
11,00:12:53:26,00:12:54:10,00:13:02:07,00:13:03:29,1,1
11,00:02:24:25,00:02:25:15,00:07:56:05,00:07:57:02,10,7
11,00:07:10:08,00:07:11:00,00:07:56:05,00:07:57:02,10,4
11,00:07:52:14,00:07:52:24,00:07:56:05,00:07:57:02,10,6
11,00:04:58:04,00:04:58:23,00:05:03:21,00:05:04:15,10,4
11,00:05:02:13,00:05:02:25,00:05:03:21,00:05:04:15,10,4
11,00:05:02:28,00:05:03:08,00:11:52:17,00:11:52:16,1,4
11,00:05:59:00,00:05:59:16,00:11:52:17,00:11:52:16,1,4
11,00:07:33:17,00:07:35:18,00:11:52:17,00:11:52:16,1,6
11,00:07:52:28,00:07:55:06,00:11:52:17,00:11:52:16,1,1
11,00:10:51:09,00:10:51:25,00:11:52:17,00:11:52:16,1,1
11,00:11:16:04,00:11:16:18,00:11:52:17,00:11:52:16,1,1
11,00:05:14:07,00:05:14:18,00:12:36:20,00:12:37:21,1,4
11,00:09:12:09,00:09:13:07,00:12:36:20,00:12:37:21,1,1
11,00:12:05:04,00:12:05:22,00:12:36:20,00:12:37:21,1,11
11,00:12:34:00,00:12:34:08,00:12:36:20,00:12:37:21,1,1
11,00:12:35:04,00:12:35:15,00:12:36:20,00:12:37:21,1,1
11,00:05:14:26,00:05:15:20,00:06:31:16,00:06:32:02,10,4
11,00:05:37:14,00:05:37:19,00:06:31:16,00:06:32:02,10,4
11,00:05:38:09,00:05:38:22,00:06:31:16,00:06:32:02,10,4
11,00:06:29:15,00:06:29:29,00:06:31:16,00:06:32:02,10,4
11,00:06:30:18,00:06:30:24,00:06:31:16,00:06:32:02,10,4
11,00:06:50:03,00:06:50:22,00:06:51:12,00:06:53:01,10,1
11,00:07:50:04,00:07:51:24,00:10:25:17,00:10:26:02,3,6
11,00:06:50:26,00:06:51:10,00:11:52:17,00:11:52:16,1,1
11,00:08:57:11,00:08:57:26,00:11:52:17,00:11:52:16,1,11
11,00:11:49:18,00:11:49:25,00:11:52:17,00:11:52:16,1,6
11,00:09:12:00,00:09:12:07,00:11:26:01,00:11:26:20,10,4
11,00:11:23:04,00:11:24:08,00:11:26:01,00:11:26:20,10,3
11,00:11:24:19,00:11:25:03,00:11:26:01,00:11:26:20,10,3
11,00:10:40:28,00:10:41:03,00:10:48:16,00:10:49:20,3,3
11,00:10:50:09,00:10:50:23,00:10:51:26,00:10:53:02,10,1
11,00:10:03:12,00:10:04:15,00:13:57:26,00:13:58:13,11,10
11,00:11:16:26,00:11:17:04,00:13:57:26,00:13:58:13,11,1
11,00:11:48:24,00:11:48:27,00:13:57:26,00:13:58:13,11,6
11,00:11:48:29,00:11:49:05,00:13:57:26,00:13:58:13,11,6
11,00:12:30:26,00:12:31:01,00:13:57:26,00:13:58:13,11,11
11,00:12:35:16,00:12:36:19,00:13:57:26,00:13:58:13,11,1
11,00:13:41:13,00:13:42:05,00:13:57:26,00:13:58:13,11,6
11,00:13:49:04,00:13:50:06,00:13:57:26,00:13:58:13,11,6
11,00:13:52:06,00:13:53:16,00:13:57:26,00:13:58:13,11,6
11,00:11:17:22,00:11:18:17,00:11:19:10,00:11:20:05,3,1
11,00:11:20:23,00:11:21:00,00:12:06:10,00:12:07:02,3,3
11,00:12:04:06,00:12:04:11,00:12:06:10,00:12:07:02,3,11
11,00:12:14:13,00:12:14:24,00:12:15:16,00:12:16:28,3,1
11,00:13:57:11,00:13:57:25,00:14:05:14,00:14:06:06,11,10
11,00:07:55:08,00:07:55:25,00:09:14:29,00:09:15:23,10,1
12,00:03:43:23,00:03:43:29,00:14:41:10,00:14:43:17,11,2
12,00:09:56:27,00:09:57:03,00:14:41:10,00:14:43:17,11,1
12,00:11:37:29,00:11:38:03,00:14:41:10,00:14:43:17,11,1
12,00:12:24:03,00:12:24:09,00:14:41:10,00:14:43:17,11,11
12,00:13:32:12,00:13:32:18,00:14:41:10,00:14:43:17,11,11
12,00:14:27:05,00:14:27:25,00:14:41:10,00:14:43:17,11,10
12,00:03:44:09,00:03:44:16,00:04:28:12,00:04:29:03,10,2
12,00:05:31:04,00:05:31:20,00:05:39:04,00:05:42:27,10,4
12,00:06:34:17,00:06:34:26,00:06:58:08,00:06:58:18,10,1
12,00:06:35:05,00:06:35:15,00:06:51:04,00:06:53:07,10,1
12,00:06:35:22,00:06:35:28,00:08:00:21,00:08:01:12,4,1
12,00:07:50:17,00:07:51:07,00:08:15:10,00:08:15:28,10,1
12,00:08:13:07,00:08:14:03,00:08:15:10,00:08:15:28,10,1
12,00:10:04:10,00:10:05:07,00:10:24:14,00:10:24:28,4,6
12,00:10:35:25,00:10:36:02,00:10:41:21,00:10:42:10,4,3
12,00:10:38:15,00:10:38:24,00:10:42:11,00:10:41:29,12,3
12,00:10:40:10,00:10:40:27,00:10:42:11,00:10:41:29,12,3
12,00:10:44:27,00:10:45:03,00:11:44:25,00:11:44:26,12,6
12,00:11:04:20,00:11:05:00,00:11:44:25,00:11:44:26,4,3
12,00:11:38:27,00:11:39:06,00:11:44:25,00:11:44:26,4,1
12,00:11:39:16,00:11:39:27,00:11:44:25,00:11:44:26,4,1
12,00:11:40:24,00:11:41:25,00:11:44:25,00:11:44:26,4,1
12,00:10:45:06,00:10:45:12,00:10:50:03,00:10:50:18,4,6
12,00:10:47:09,00:10:47:16,00:10:50:03,00:10:50:18,4,6
12,00:10:59:10,00:10:59:16,00:12:06:11,00:12:07:23,1,3
12,00:11:37:02,00:11:37:15,00:12:06:11,00:12:07:23,1,3
12,00:10:59:18,00:11:00:10,00:11:01:13,00:11:01:18,10,3
12,00:11:00:27,00:11:01:03,00:11:46:10,00:11:46:28,2,3
12,00:11:03:25,00:11:04:19,00:11:46:10,00:11:46:28,2,3
12,00:12:23:27,00:12:24:02,00:13:33:21,00:13:34:19,1,11
12,00:13:31:19,00:13:31:24,00:13:33:21,00:13:34:19,1,11
12,00:13:32:19,00:13:33:09,00:13:33:21,00:13:34:19,1,11
12,00:13:36:27,00:13:37:16,00:13:55:27,00:14:02:24,2,11
12,00:13:40:07,00:13:41:01,00:13:55:27,00:14:02:24,2,11
12,00:13:37:18,00:13:39:12,00:14:03:14,00:14:04:01,12,11
12,00:15:09:19,00:15:09:24,00:15:27:08,00:15:27:14,11,10
15,00:01:44:00,00:01:44:17,00:02:27:11,00:02:28:27,6,9
15,00:02:13:27,00:02:14:14,00:02:27:11,00:02:28:27,6,1
15,00:02:14:19,00:02:14:21,00:10:01:18,00:10:02:00,1,1
15,00:02:36:27,00:02:37:17,00:10:01:18,00:10:02:00,1,8
15,00:05:37:15,00:05:38:13,00:10:01:18,00:10:02:00,1,7
15,00:06:24:15,00:06:25:06,00:10:01:18,00:10:02:00,1,1
15,00:08:30:00,00:08:31:05,00:10:01:18,00:10:02:00,1,1
15,00:09:00:23,00:09:00:26,00:10:01:18,00:10:02:00,1,1
15,00:09:31:00,00:09:32:02,00:10:01:18,00:10:02:00,1,10
15,00:02:15:01,00:02:15:10,00:04:23:18,00:04:26:21,10,1
15,00:02:16:20,00:02:17:05,00:04:23:18,00:04:26:21,10,1
15,00:02:35:15,00:02:35:24,00:04:23:18,00:04:26:21,10,8
15,00:03:58:10,00:03:58:18,00:04:23:18,00:04:26:21,10,1
15,00:02:17:07,00:02:17:21,00:09:01:19,00:09:02:12,1,1
15,00:02:33:12,00:02:33:29,00:09:01:19,00:09:02:12,1,8
15,00:02:35:25,00:02:36:11,00:09:01:19,00:09:02:12,1,8
15,00:04:28:13,00:04:28:19,00:09:01:19,00:09:02:12,1,4
15,00:05:29:18,00:05:29:24,00:09:01:19,00:09:02:12,1,7
15,00:06:23:26,00:06:24:14,00:09:01:19,00:09:02:12,1,1
15,00:08:25:03,00:08:25:08,00:09:01:19,00:09:02:12,1,3
15,00:08:26:02,00:08:26:08,00:09:01:19,00:09:02:12,1,1
15,00:08:26:10,00:08:26:20,00:09:01:19,00:09:02:12,1,1
15,00:08:28:06,00:08:28:14,00:09:01:19,00:09:02:12,1,1
15,00:08:29:13,00:08:29:28,00:09:01:19,00:09:02:12,1,1
15,00:08:31:07,00:08:31:12,00:09:01:19,00:09:02:12,1,1
15,00:08:32:24,00:08:33:07,00:09:01:19,00:09:02:12,1,1
15,00:08:53:14,00:08:54:03,00:09:01:19,00:09:02:12,1,6
15,00:08:54:04,00:08:54:19,00:09:01:19,00:09:02:12,1,6
15,00:08:59:27,00:09:00:21,00:09:01:19,00:09:02:12,1,6
15,00:02:17:24,00:02:18:12,00:03:34:05,00:03:35:02,11,1
15,00:02:18:19,00:02:18:25,00:03:34:05,00:03:35:02,11,1
15,00:02:36:12,00:02:36:26,00:03:34:05,00:03:35:02,11,8
15,00:02:18:13,00:02:18:17,00:07:50:09,00:07:52:14,1,1
15,00:05:19:08,00:05:19:19,00:07:50:09,00:07:52:14,1,1
15,00:02:40:15,00:02:41:00,00:05:24:02,00:05:24:29,4,8
15,00:05:14:20,00:05:14:29,00:05:51:01,00:05:52:24,10,4
15,00:05:18:14,00:05:19:07,00:06:02:16,00:06:04:15,10,1
15,00:05:28:00,00:05:28:29,00:06:02:16,00:06:04:15,10,7
15,00:05:30:02,00:05:30:22,00:06:02:16,00:06:04:15,10,7
15,00:05:20:07,00:05:23:11,00:06:12:02,00:06:13:06,10,1
15,00:05:31:01,00:05:31:13,00:06:12:02,00:06:13:06,10,7
15,00:06:11:01,00:06:11:20,00:06:12:02,00:06:13:06,10,1
15,00:05:24:26,00:05:25:20,00:09:25:24,00:09:26:00,12,7
15,00:09:25:08,00:09:25:14,00:09:25:24,00:09:26:00,12,1
15,00:05:38:18,00:05:39:07,00:05:39:23,00:05:40:14,10,1
15,00:05:57:14,00:05:57:24,00:07:01:07,00:07:02:08,10,3
15,00:06:41:26,00:06:41:29,00:06:43:01,00:06:44:16,10,1
15,00:06:42:07,00:06:42:21,00:06:45:06,00:06:45:00,11,1
15,00:06:42:24,00:06:42:26,00:07:49:28,00:07:52:15,10,1
15,00:08:07:16,00:08:07:29,00:08:11:26,00:08:13:04,10,1
15,00:08:08:09,00:08:08:27,00:08:11:26,00:08:13:04,10,1
15,00:08:09:01,00:08:09:21,00:09:13:20,00:09:14:22,10,1
15,00:08:14:04,00:08:15:23,00:09:13:20,00:09:14:22,10,1
15,00:08:11:08,00:08:11:20,00:10:17:09,00:10:19:13,1,1
15,00:10:12:20,00:10:13:06,00:10:17:09,00:10:19:13,1,11
15,00:08:25:20,00:08:26:00,00:09:33:01,00:09:38:02,11,1
15,00:08:28:17,00:08:28:26,00:09:33:01,00:09:38:02,11,1
15,00:09:28:13,00:09:29:02,00:09:33:01,00:09:38:02,11,10
15,00:08:27:12,00:08:27:19,00:09:25:25,00:09:25:29,4,1
15,00:09:24:05,00:09:25:07,00:09:25:25,00:09:25:29,4,6
15,00:09:02:27,00:09:03:26,00:10:43:07,00:10:43:20,1,11
15,00:09:53:26,00:09:54:04,00:09:54:13,00:09:55:04,11,10
15,00:09:56:11,00:09:56:24,00:10:41:17,00:10:42:00,11,10
15,00:09:56:27,00:09:57:05,00:10:38:10,00:10:39:17,11,10
15,00:10:00:26,00:10:01:02,00:10:38:10,00:10:39:17,11,10
16,00:03:06:27,00:03:07:08,00:10:08:08,00:10:07:29,1,12
16,00:05:23:24,00:05:24:02,00:10:08:08,00:10:07:29,1,12
16,00:05:39:21,00:05:40:29,00:10:08:08,00:10:07:29,1,4
16,00:09:47:28,00:09:48:08,00:10:08:08,00:10:07:29,1,12
16,00:04:07:13,00:04:07:19,00:04:37:05,00:04:38:25,2,2
16,00:05:22:25,00:05:23:13,00:05:25:01,00:05:26:29,10,4
16,00:05:29:25,00:05:30:01,00:05:30:17,00:05:31:13,10,1
16,00:05:47:09,00:05:48:12,00:06:15:02,00:06:15:07,5,1
16,00:06:13:17,00:06:14:10,00:06:18:07,00:06:19:15,8,6
16,00:07:43:22,00:07:43:26,00:09:54:05,00:09:54:23,11,1
16,00:09:50:15,00:09:51:01,00:09:54:05,00:09:54:23,11,1
16,00:07:44:09,00:07:44:10,00:07:54:06,00:07:54:19,10,1
16,00:07:48:04,00:07:48:13,00:07:54:06,00:07:54:19,10,4
16,00:07:52:14,00:07:53:09,00:07:54:06,00:07:54:19,10,4
16,00:09:39:13,00:09:40:26,00:09:42:28,00:09:42:29,12,7
16,00:09:48:10,00:09:48:23,00:11:16:13,00:11:16:22,10,1
16,00:11:05:20,00:11:05:29,00:11:16:13,00:11:16:22,10,1
16,00:10:33:19,00:10:33:29,00:13:02:27,00:13:03:29,2,1
16,00:10:39:03,00:10:39:21,00:11:26:27,00:11:31:11,1,1
16,00:12:58:03,00:12:59:11,00:13:30:28,00:13:31:14,12,3
16,00:13:00:03,00:13:00:08,00:15:08:05,00:15:08:27,3,3
16,00:14:35:15,00:14:35:29,00:15:08:05,00:15:08:27,3,11
16,00:15:05:21,00:15:07:01,00:15:08:05,00:15:08:27,3,1
16,00:12:33:06,00:12:33:21,00:14:05:13,00:14:05:12,1,1
16,00:12:34:08,00:12:34:20,00:14:05:13,00:14:05:12,1,1
16,00:13:01:04,00:13:02:26,00:14:05:13,00:14:05:12,1,1
16,00:13:32:02,00:13:33:27,00:14:05:13,00:14:05:12,1,1
16,00:14:39:13,00:14:39:18,00:14:40:02,00:14:41:24,1,11
16,00:15:07:11,00:15:07:25,00:15:09:20,00:15:10:08,1,6
16,00:16:25:04,00:16:25:14,00:16:46:07,00:16:49:01,1,11
17,00:01:44:19,00:01:44:25,00:02:23:10,00:02:27:15,9,6
17,00:01:45:23,00:01:46:01,00:02:23:10,00:02:27:15,9,6
17,00:02:20:26,00:02:21:19,00:02:23:10,00:02:27:15,9,6
17,00:02:51:28,00:02:52:11,00:02:52:27,00:02:54:23,9,12
17,00:03:01:13,00:03:02:11,00:03:55:14,00:03:58:25,8,8
17,00:03:02:26,00:03:03:20,00:03:55:14,00:03:58:25,8,8
17,00:03:02:13,00:03:02:24,00:14:44:18,00:14:46:11,1,8
17,00:03:55:29,00:03:56:04,00:14:44:18,00:14:46:11,1,2
17,00:11:33:10,00:11:33:24,00:14:44:18,00:14:46:11,1,7
17,00:12:12:20,00:12:13:11,00:14:44:18,00:14:46:11,1,10
17,00:04:10:14,00:04:10:17,00:12:34:29,00:12:35:19,1,12
17,00:12:07:13,00:12:07:19,00:12:34:29,00:12:35:19,1,1
17,00:04:10:20,00:04:11:16,00:04:33:23,00:04:36:16,8,1
17,00:05:13:03,00:05:13:18,00:07:16:23,00:07:17:23,10,1
17,00:06:39:26,00:06:40:15,00:07:16:23,00:07:17:23,10,1
17,00:07:08:11,00:07:10:07,00:07:16:23,00:07:17:23,10,1
17,00:07:12:04,00:07:12:10,00:07:16:23,00:07:17:23,10,1
17,00:05:17:16,00:05:18:08,00:05:23:20,00:05:24:19,8,2
17,00:05:18:27,00:05:20:17,00:05:23:20,00:05:24:19,8,2
17,00:06:41:19,00:06:41:25,00:07:23:11,00:07:25:24,10,1
17,00:07:10:28,00:07:11:29,00:07:18:12,00:07:18:14,8,1
17,00:07:56:22,00:07:57:02,00:07:57:16,00:07:58:09,10,1
17,00:07:57:03,00:07:57:15,00:07:57:29,00:07:58:10,10,1
17,00:07:56:06,00:07:56:21,00:08:48:03,00:08:50:16,9,13
17,00:11:20:16,00:11:20:20,00:11:43:21,00:11:44:10,9,7
17,00:11:24:15,00:11:24:22,00:11:43:21,00:11:44:10,9,7
17,00:11:31:20,00:11:33:01,00:11:43:21,00:11:44:10,9,7
17,00:11:23:26,00:11:24:14,00:11:38:04,00:11:39:19,10,7
17,00:12:05:24,00:12:06:18,00:12:15:04,00:12:17:09,11,1
17,00:12:10:18,00:12:11:10,00:12:15:04,00:12:17:09,11,10
17,00:12:06:27,00:12:07:12,00:12:23:19,00:12:24:20,11,1
17,00:12:08:05,00:12:08:17,00:12:20:26,00:12:22:18,11,1
17,00:12:07:21,00:12:08:04,00:14:22:12,00:14:23:12,1,1
17,00:12:09:20,00:12:10:04,00:14:22:12,00:14:23:12,1,1
17,00:14:21:11,00:14:21:29,00:14:22:12,00:14:23:12,1,1
